home,home_lat,home_lon,other,o_lat,o_lon,reach,flights
EDDF,50.026706,8.55835,LOWG,46.9911,15.4396,Europe,6
EDDF,50.026706,8.55835,LOWL,48.235362,14.188128,Europe,2
EDDF,50.026706,8.55835,LOWS,47.793301,13.0043,Europe,7
EDDF,50.026706,8.55835,LOWW,48.110298,16.5697,Europe,29
EDDF,50.026706,8.55835,LPFR,37.015909,-7.970939,Europe,4
EDDF,50.026706,8.55835,LPMA,32.697812,-16.774613,Europe,2
EDDF,50.026706,8.55835,LPPR,41.2481002808,-8.68138980865,Europe,6
EDDF,50.026706,8.55835,LPPT,38.7813,-9.13592,Europe,12
EDDF,50.026706,8.55835,LQVI,44.025059,18.097114,Europe,2
EDDF,50.026706,8.55835,LROP,44.571792,26.103285,Europe,8
EDDF,50.026706,8.55835,LSGG,46.238098,6.10895,Europe,8
EDDF,50.026706,8.55835,LSPF,47.690203,8.526178,Europe,1
EDDF,50.026706,8.55835,LSZH,47.458056,8.548056,Europe,24
EDDF,50.026706,8.55835,LSZM,47.078353,9.064662,Europe,6
EDDF,50.026706,8.55835,LTAI,36.898701,30.800501,Intercontinental,7
EDDF,50.026706,8.55835,LTBK,38.319099,27.159401,Intercontinental,2
EDDF,50.026706,8.55835,LTBL,38.513,27.010099,Intercontinental,1
EDDF,50.026706,8.55835,LTFE,37.249314,27.66401,Intercontinental,1
EDDF,50.026706,8.55835,LTFJ,40.898602,29.3092,Intercontinental,3
EDDF,50.026706,8.55835,LTXE,37.097222,30.648264,Intercontinental,4
EDDF,50.026706,8.55835,LYBE,44.818401,20.309099,Europe,10
EDDF,50.026706,8.55835,MMJC,19.574155,-99.291183,Intercontinental,2
EDDF,50.026706,8.55835,MMMX,19.435822,-99.07033,Intercontinental,2
EDDF,50.026706,8.55835,MMUN,21.040817,-86.87347,Intercontinental,2
EDDF,50.026706,8.55835,OBBI,26.267295,50.63764,Intercontinental,1
EDDF,50.026706,8.55835,OJAI,31.7226009369,35.9931983948,Intercontinental,2
EDDF,50.026706,8.55835,OLBA,33.819833,35.487443,Intercontinental,2
EDDF,50.026706,8.55835,OMAA,24.440966,54.649237,Intercontinental,3
EDDF,50.026706,8.55835,OMDB,25.24979,55.370992,Intercontinental,5
EDDF,50.026706,8.55835,OMDW,24.896171,55.16235,Intercontinental,1
EDDF,50.026706,8.55835,OTHH,25.273056,51.608056,Intercontinental,4
EDDF,50.026706,8.55835,RCTP,25.0777,121.233002,Intercontinental,1
EDDF,50.026706,8.55835,RJAA,35.76858,140.388714,Intercontinental,4
EDDF,50.026706,8.55835,RJTT,35.549678,139.786958,Intercontinental,8
EDDF,50.026706,8.55835,RKSI,37.469101,126.450996,Intercontinental,7
EDDF,50.026706,8.55835,SAEZ,-34.8222,-58.5358,Intercontinental,2
EDDF,50.026706,8.55835,SBGL,-22.809999,-43.250557,Intercontinental,2
EDDF,50.026706,8.55835,SBGR,-23.431274,-46.469954,Intercontinental,4
EDDF,50.026706,8.55835,SBKP,-23.007404,-47.134502,Intercontinental,2
EDDF,50.026706,8.55835,SKBO,4.70159,-74.1469,Intercontinental,1
EDDF,50.026706,8.55835,VABB,19.088699,72.867897,Intercontinental,2
EDDF,50.026706,8.55835,VAJJ,19.098100662231445,72.83419799804688,Intercontinental,3
EDDF,50.026706,8.55835,VHHH,22.31184,113.914862,Intercontinental,5
EDDF,50.026706,8.55835,VIDP,28.55563,77.09519,Intercontinental,5
EDDF,50.026706,8.55835,VOBL,13.1979,77.706299,Intercontinental,3
EDDF,50.026706,8.55835,VOMM,12.990005,80.169296,Intercontinental,2
EDDF,50.026706,8.55835,VOTX,12.9072,80.121902,Intercontinental,1
EDDF,50.026706,8.55835,VTBS,13.6811,100.747002,Intercontinental,3
EDDF,50.026706,8.55835,WMKK,2.74558,101.709999,Intercontinental,1
EDDF,50.026706,8.55835,WSAC,1.3441400528,104.009002686,Intercontinental,3
EDDF,50.026706,8.55835,WSSS,1.35019,103.994003,Intercontinental,1
