queried_airport,direction,icao24,callsign,dep_airport,arr_airport,firstSeen,lastSeen,home,other,ts,hour,al_icao,airline,lh_group,o_country,o_continent,reach,o_lat,o_lon,home_lat,home_lon,dist_km
EDDF,departure,88516b,THA923,EDDF,VHHH,1787167664.0,1787219186,EDDF,VHHH,1787167664.0,21,THA,Thai Airways International,False,HK,AS,Intercontinental,22.31184,113.914862,50.026706,8.55835,9154.167411204344
EDDF,departure,3c65e1,DLH05H,EDDF,LEBL,1787167620.0,1787174039,EDDF,LEBL,1787167620.0,21,DLH,Lufthansa,True,ES,EU,Europe,41.2971,2.07846,50.026706,8.55835,1092.5416501874115
EDDF,departure,3c65d8,DLH73U,EDDF,LFPG,1787167517.0,1787170756,EDDF,LFPG,1787167517.0,21,DLH,Lufthansa,True,FR,EU,Europe,49.00896,2.554117,50.026706,8.55835,447.8305266654691
EDDF,departure,4b17fb,SWR2MB,EDDF,LSGG,1787167487.0,1787171212,EDDF,LSGG,1787167487.0,21,SWR,Swiss,True,CH,EU,Europe,46.238098,6.10895,50.026706,8.55835,458.75348003207523
EDDF,departure,3c6758,DLH8AH,EDDF,LMML,1787167449.0,1787175877,EDDF,LMML,1787167449.0,21,DLH,Lufthansa,True,MT,EU,Europe,35.845932,14.491546,50.026706,8.55835,1647.813282230987
EDDF,departure,3c65cd,DLH04U,EDDF,LEVC,1787167320.0,1787175672,EDDF,LEVC,1787167320.0,21,DLH,Lufthansa,True,ES,EU,Europe,39.489162,-0.480961,50.026706,8.55835,1369.719226703799
EDDF,departure,3c667a,DLH2HK,EDDF,EHAM,1787167232.0,1787170097,EDDF,EHAM,1787167232.0,21,DLH,Lufthansa,True,NL,EU,Europe,52.308601,4.76389,50.026706,8.55835,366.48146892987825
EDDF,departure,440c31,EJU79JH,EDDF,LIRF,1787167185.0,1787172238,EDDF,LIRF,1787167185.0,21,EJU,easyJet,False,IT,EU,Europe,41.804532,12.251998,50.026706,8.55835,957.56108872809
EDDF,departure,3c6482,DLH7LV,EDDF,LQVI,1787167172.0,1787171535,EDDF,LQVI,1787167172.0,21,DLH,Lufthansa,True,BA,EU,Europe,44.025059,18.097114,50.026706,8.55835,982.5166294346697
EDDF,departure,300738,DLH5JL,EDDF,EPWR,1787167023.0,1787170175,EDDF,EPWR,1787167023.0,21,DLH,Lufthansa,True,PL,EU,Europe,51.103719,16.882096,50.026706,8.55835,599.6391823914247
EDDF,departure,300781,DLA1KF,EDDF,LIPQ,1787166935.0,1787170501,EDDF,LIPQ,1787166935.0,21,DLA,Air Dolomiti,True,IT,EU,Europe,45.827862,13.466672,50.026706,8.55835,592.7958875625773
EDDF,departure,3c6586,DLH1556,EDDF,,1787166834.0,1787172323,EDDF,,1787166834.0,21,DLH,Lufthansa,True,,,unknown,,,50.026706,8.55835,
EDDF,departure,3c65d6,DLH7YA,EDDF,EPWA,1787166639.0,1787170811,EDDF,EPWA,1787166639.0,21,DLH,Lufthansa,True,PL,EU,Europe,52.165699,20.9671,50.026706,8.55835,897.3150269277251
EDDF,departure,501e83,CTN415,EDDF,LDZA,1787166330.0,1787170033,EDDF,LDZA,1787166330.0,21,CTN,Croatia Airlines,False,HR,EU,Europe,45.742901,16.0688,50.026706,8.55835,734.5935005052726
EDDF,departure,3c6751,DLH892,EDDF,EVRA,1787165884.0,1787171838,EDDF,EVRA,1787165884.0,20,DLH,Lufthansa,True,LV,EU,Europe,56.920752,23.970711,50.026706,8.55835,1271.1934455558473
EDDF,departure,3c648c,DLH1CJ,EDDF,EPGD,1787165856.0,1787170426,EDDF,EPGD,1787165856.0,20,DLH,Lufthansa,True,PL,EU,Europe,54.377602,18.4662,50.026706,8.55835,829.4250208915726
EDDF,departure,471a7f,JUP111,EDDF,EGBB,1787165714.0,1787172763,EDDF,EGBB,1787165714.0,20,JUP,Other / unmatched,False,GB,EU,Europe,52.453899,-1.74803,50.026706,8.55835,765.7189968549203
EDDF,departure,abc591,FDX3,EDDF,KMEM,1787165418.0,1787200363,EDDF,KMEM,1787165418.0,20,FDX,Federal Express,False,US,,Intercontinental,35.043845,-89.97634,50.026706,8.55835,7647.785941555087
EDDF,departure,4692cd,AEE3FU,EDDF,LGTS,1787164745.0,1787172055,EDDF,LGTS,1787164745.0,20,AEE,Aegean Airlines,False,GR,EU,Europe,40.51928,22.970009,50.026706,8.55835,1540.8276704959915
EDDF,departure,3c7a49,CFG2366,EDDF,VTBS,1787164647.0,1787202141,EDDF,VTBS,1787164647.0,20,CFG,Condor Flugdienst,False,TH,AS,Intercontinental,13.6811,100.747002,50.026706,8.55835,9000.45962844498
EDDF,departure,800734,AIC2028,EDDF,VABB,1787164610.0,1787196828,EDDF,VABB,1787164610.0,20,AIC,Air India Limited,False,IN,AS,Intercontinental,19.088699,72.867897,50.026706,8.55835,6569.667217474484
EDDF,departure,3c6746,DLH898,EDDF,EYVI,1787164471.0,1787170881,EDDF,EYVI,1787164471.0,20,DLH,Lufthansa,True,LT,EU,Europe,54.634102,25.285801,50.026706,8.55835,1242.7890185646338
EDDF,departure,3c65da,DLH7WK,EDDF,LROP,1787164470.0,1787170728,EDDF,LROP,1787164470.0,20,DLH,Lufthansa,True,RO,EU,Europe,44.571792,26.103285,50.026706,8.55835,1450.8551268606066
EDDF,departure,4aca7a,SAS94J,EDDF,EKCH,1787164395.0,1787168242,EDDF,EKCH,1787164395.0,20,SAS,Scandinavian Airlines System,False,DK,EU,Europe,55.617900848389,12.656000137329,50.026706,8.55835,679.6633259560357
EDDF,departure,86e430,JAL408,EDDF,RJAA,1787164361.0,1787207409,EDDF,RJAA,1787164361.0,20,JAL,Japan Airlines Domestic,False,JP,AS,Intercontinental,35.76858,140.388714,50.026706,8.55835,9367.47805681632
EDDF,departure,3c79ba,CFG1CD,EDDF,EDDB,1787164263.0,1787166824,EDDF,EDDB,1787164263.0,20,CFG,Condor Flugdienst,False,DE,EU,Domestic,52.361738,13.502341,50.026706,8.55835,431.2414419348526
